Year,Strata,Winter_mint,Winter_prec
1970,CA-AB_BCR-6_LCC-0,-20.35044627,8299231.04
1970,CA-BC_BCR-6_LCC-0,-21.2991049,1994774.18
1970,CA-MB_BCR-6_LCC-0,-20.74835814,2316869.2
1970,CA-MB_BCR-8_LCC-0,-24.01737993,8273110.87
1970,CA-NL_BCR-8_LCC-0,-9.428562596,14481920.18
1970,CA-NT_BCR-6_LCC-0,-26.76762305,9202623.27
1970,CA-NT_BCR-7_LCC-0,-24.68149602,32005790.78
1970,CA-ON_BCR-8_LCC-0,-22.17829197,13700350.48
1970,CA-QC_BCR-8_LCC-0,-21.92993245,28596192.34
1970,CA-SK_BCR-6_LCC-0,-20.95020531,3257924.85
1970,US-AL_BCR-28_LCC-1,-2.465320757,3184434.86
1970,US-GA_BCR-28_LCC-1,-3.718798069,1264375.45
1970,US-IN_BCR-24_LCC-1,-7.969478015,1305449.04
1970,US-KY_BCR-24_LCC-1,-6.751476986,4483752.47
1970,US-KY_BCR-28_LCC-1,-6.861540826,2004711.579
1970,US-MD_BCR-28_LCC-1,-8.54986298,324992.1399
1970,US-NJ_BCR-28_LCC-1,-10.26035331,273495.9396
1970,US-NY_BCR-28_LCC-1,-12.76180989,2483406.44
1970,US-NC_BCR-28_LCC-1,-6.161192235,1547098.14
1970,US-OH_BCR-24_LCC-1,-7.743282504,68908.51
1970,US-OH_BCR-28_LCC-1,-8.834095002,1316425.94
1970,US-PA_BCR-28_LCC-1,-10.49591559,5808597.47
1970,US-TN_BCR-24_LCC-1,-4.879079536,4568440.621
1970,US-TN_BCR-28_LCC-1,-5.408209582,3720301.29
1970,US-VA_BCR-28_LCC-1,-7.036531403,2643412.73
1970,US-WV_BCR-28_LCC-1,-8.261419912,4256828.749
1970,US-CA_BCR-15_LCC-2,-2.048837575,10618870.83
1970,US-CA_BCR-32_LCC-2,4.213645014,15257919.97
1970,US-AZ_BCR-33_LCC-3,2.637674974,424097.4701
1970,US-AZ_BCR-34_LCC-3,-3.193034879,1002310.77
1970,US-CA_BCR-33_LCC-3,2.089619488,390965.53
1970,US-NV_BCR-33_LCC-3,-1.715789154,81315.77
1970,US-NM_BCR-34_LCC-3,-6.923801517,285487.8701
1970,US-NM_BCR-35_LCC-3,-3.589401531,735949.9998
1970,US-TX_BCR-35_LCC-3,-0.421566581,838207.3799
1970,US-IL_BCR-22_LCC-4,-9.946241794,2537591.18
1970,US-IN_BCR-22_LCC-4,-9.634290444,1050143.02
1970,US-IA_BCR-22_LCC-4,-13.62921365,1731065.41
1970,US-KS_BCR-22_LCC-4,-7.425711416,995781.1799
1970,US-MI_BCR-22_LCC-4,-10.62636969,89212.40999
1970,US-MN_BCR-22_LCC-4,-16.58743404,276076.25
1970,US-MO_BCR-22_LCC-4,-8.398162087,1197826.01
1970,US-NE_BCR-22_LCC-4,-12.12346782,294437.01
1970,US-OH_BCR-22_LCC-4,-9.309680853,1618766.3
1970,US-OK_BCR-22_LCC-4,-4.917853187,326727.16
1970,US-WI_BCR-22_LCC-4,-10.20746989,3787.809993
1970,US-CA_BCR-9_LCC-5,-4.427955086,3688557.57
1970,US-CA_BCR-15_LCC-5,-5.302253524,1005405.64
1970,US-ID_BCR-9_LCC-5,-6.851853311,5028244.481
1970,US-NV_BCR-9_LCC-5,-6.059118835,6945767.321
1970,US-OR_BCR-9_LCC-5,-4.597012439,5489429.51
1970,US-UT_BCR-9_LCC-5,-6.449857949,1417532.18
1970,CA-AB_BCR-10_LCC-6,-15.37834167,2057962.55
1970,CA-BC_BCR-9_LCC-6,-9.615040095,3889709.57
1970,CA-BC_BCR-10_LCC-6,-12.93710538,22989097.21
1970,US-ID_BCR-10_LCC-6,-7.73517722,13000870.8
1970,US-MT_BCR-10_LCC-6,-9.753907345,9398809.121
1970,US-OR_BCR-9_LCC-6,-3.622723611,3183718.991
1970,US-OR_BCR-10_LCC-6,-4.647651096,5124925.931
1970,US-WA_BCR-9_LCC-6,-4.62024171,11427141.63
1970,US-WA_BCR-10_LCC-6,-7.111356003,1685394.17
1970,US-WY_BCR-10_LCC-6,-11.38410479,4901662.981
1970,US-CO_BCR-18_LCC-7,-8.796765595,424858.67
1970,US-KS_BCR-18_LCC-7,-7.671356304,142353.92
1970,US-KS_BCR-19_LCC-7,-7.929968619,800499.8101
1970,US-NE_BCR-19_LCC-7,-11.12713649,767856.1501
1970,US-NM_BCR-18_LCC-7,-6.192177907,401385.42
1970,US-OK_BCR-19_LCC-7,-4.52334383,684003.7699
1970,US-TX_BCR-18_LCC-7,-3.762997167,619520.56
1970,US-TX_BCR-19_LCC-7,-2.092746504,1170172.88
1970,US-WY_BCR-18_LCC-7,-9.574933456,260484.8
1970,US-LA_BCR-37_LCC-8,4.650940778,1418066.91
1970,US-OK_BCR-21_LCC-8,-3.262456629,1055601.5
1970,US-TX_BCR-20_LCC-8,1.127350448,1270609.82
